Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
412bf1a0-3e57-01f2-7e69-7bc2cbd1acd3,1982-11-02,,999-53-6582,S99910791,X84728254X,Mr.,Boyd728,,Weissnat378,,,M,white,hispanic,M,Swansea  Massachusetts  US,191 Runolfsson Drive Apt 19,Westfield,Massachusetts,Hampden County,25013,01085,42.10571071650392,-72.8087109387943,80142.20,27675.75,193773
28312ae6-e826-7ac3-e44d-1a766d71fc08,2007-12-01,,999-79-5518,S99938570,,Mr.,Kyle55,,Blanda868,,,,white,nonhispanic,M,Pittsfield  Massachusetts  US,224 Gerlach Plaza,Medford,Massachusetts,Middlesex County,25017,02155,42.398580019992735,-71.1216069532159,50039.43,22420.20,158957
d99bfea9-3816-7051-6f7c-3577cfd1570a,1959-03-11,,999-53-3487,S99925783,X49877246X,Ms.,Consuelo468,Francie486,Zboncak558,,,S,white,nonhispanic,F,Andover  Massachusetts  US,696 Goodwin Lock Suite 66,Boston,Massachusetts,Suffolk County,25017,02467,42.33992052584324,-71.03557431607057,526025.01,230568.40,63526
4acd333b-a4f3-7fa0-45ef-18bbc57913bd,2025-09-13,,999-29-8588,,,,Brant303,Earle679,Kreiger457,,,,white,nonhispanic,M,Tewksbury  Massachusetts  US,705 Harris Row,Boston,Massachusetts,Suffolk County,25025,02113,42.309453669504286,-71.04000821568255,2547.90,0.00,72618
99d3eb26-4e63-31d8-9b43-32a1f205dc46,1956-12-20,,999-85-5892,S99979952,X23555054X,Mrs.,Carlota980,Gabriela205,Camarillo982,,Valle770,M,white,hispanic,F,San Juan  Puerto Rico  PR,709 Kunze Heights Apt 93,Somerset,Massachusetts,Bristol County,25005,02725,41.786642855385246,-71.17117356200377,1486940.88,541105.49,120639
783004c6-6301-43dd-e626-59807812b97e,2025-02-19,,999-27-4488,,,,Jetta614,Erma609,Stroman228,,,,white,nonhispanic,F,Acton  Massachusetts  US,395 Marvin Row Unit 94,Sudbury,Massachusetts,Middlesex County,,00000,42.36693134070697,-71.43914313310454,2092.90,2539.61,438989
225a1778-4837-f3de-4192-3c1fff2b529b,2010-09-19,,999-31-6783,,,,Modesto621,Herman763,Rogahn59,,,,white,nonhispanic,M,Lawrence  Massachusetts  US,230 Hilpert Heights,Amherst Center,Massachusetts,Hampshire County,,00000,42.394186848124235,-72.47930556640573,44394.38,0.00,50565
131d62f1-0546-6627-698b-5ef8789c5df1,1967-01-18,,999-19-1771,S99990679,X32217037X,Mr.,Marvin195,Refugio197,Crist667,,,M,white,nonhispanic,M,Easthampton  Massachusetts  US,619 Spencer Estate,Boston,Massachusetts,Suffolk County,25025,02108,42.34432732229643,-71.02044442391144,156122.75,99762.80,32184
ffe355d2-105d-cbf5-d953-2c4934694818,1995-11-16,,999-34-7171,S99974317,X64569969X,Mrs.,Shawana711,,Fahey393,,Hilll811,M,white,nonhispanic,F,Abington  Massachusetts  US,473 Quigley Brook,Braintree,Massachusetts,Norfolk County,25021,02184,42.236520959640494,-71.043038931028,107912.39,221877.16,163006
96e272c2-1bef-7b11-932a-e01313ecc2a8,1994-11-24,,999-54-5330,S99974234,X80678840X,Mr.,Tyler508,Taylor21,Kozey370,,,M,white,hispanic,M,Dracut  Massachusetts  US,656 Kuhlman Boulevard,Kingston,Massachusetts,Plymouth County,25023,02364,41.93962576265293,-70.78012576306864,5385.55,110594.33,11601
2302b3af-b902-0f2c-5696-2d6628c4ca5a,1969-08-17,,999-37-5081,S99910606,X10677435X,Mrs.,Mora209,Catalina187,Kuhn96,,Hane680,M,white,nonhispanic,F,Melrose  Massachusetts  US,866 Sauer Tunnel,Holbrook,Massachusetts,Norfolk County,25021,02343,42.11953041161112,-70.9928450665099,491927.44,237571.85,47055
2efabc76-892a-b1cf-f47b-4c046d7b197d,1976-07-11,2004-02-16,999-20-6903,S99968047,X989793X,Ms.,Gennie418,Randa356,Vandervort697,,,,white,hispanic,F,Dartmouth  Massachusetts  US,1094 Medhurst Mill,Dartmouth,Massachusetts,Bristol County,,00000,41.52322758105633,-70.92450100302692,58842.07,355909.24,23836
